date,open,high,low,close,volume
2022-05-10 00:00:00+05:30,93.4,96.9,77.45,89.9,1797621
2022-05-11 00:00:00+05:30,90.0,92.5,83.0,87.85,931995
2022-05-12 00:00:00+05:30,87.85,88.9,81.8,82.85,272284
2022-05-13 00:00:00+05:30,82.85,89.1,80.0,81.45,273194
2022-05-16 00:00:00+05:30,81.75,84.9,76.65,78.75,239924
2022-05-17 00:00:00+05:30,81.85,84.65,78.6,82.7,150069
2022-05-18 00:00:00+05:30,81.1,83.9,81.0,81.05,132976
2022-05-19 00:00:00+05:30,78.8,80.55,73.0,75.6,67082
2022-05-20 00:00:00+05:30,75.0,79.5,75.0,77.55,108473
2022-05-23 00:00:00+05:30,76.05,79.0,73.65,74.7,49452
2022-05-24 00:00:00+05:30,73.25,89.6,71.9,88.55,1073309
2022-05-25 00:00:00+05:30,93.9,93.9,82.35,83.95,430436
2022-05-26 00:00:00+05:30,86.0,86.0,79.5,81.45,77184
2022-05-27 00:00:00+05:30,82.3,83.3,79.05,80.2,178480
2022-05-30 00:00:00+05:30,81.25,83.0,78.35,80.5,1017997
2022-05-31 00:00:00+05:30,81.7,83.2,78.0,79.55,833119
2022-06-01 00:00:00+05:30,79.95,81.7,77.1,78.3,839285
2022-06-02 00:00:00+05:30,78.9,79.5,74.85,77.9,912855
2022-06-03 00:00:00+05:30,78.85,81.5,76.75,80.05,1001243
2022-06-06 00:00:00+05:30,79.75,83.5,78.0,78.9,287113
2022-06-07 00:00:00+05:30,78.0,79.65,76.75,77.15,126435
2022-06-08 00:00:00+05:30,77.15,83.5,77.15,79.6,366291
2022-06-09 00:00:00+05:30,80.7,82.0,79.05,80.0,141162
2022-06-10 00:00:00+05:30,80.95,80.95,78.1,78.45,113665
2022-06-13 00:00:00+05:30,75.05,79.7,75.05,78.35,156651
2022-06-14 00:00:00+05:30,77.15,78.75,74.5,75.65,197431
2022-06-15 00:00:00+05:30,75.0,78.0,75.0,75.55,208831
2022-06-16 00:00:00+05:30,77.4,78.9,72.25,74.5,146934
