date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,361.5,364.8,356.4,363.75,7759872
2019-01-02 00:00:00+05:30,361.5,367.9,360.3,364.6,18243156
2019-01-03 00:00:00+05:30,365.0,367.3,362.05,363.25,12884409
2019-01-04 00:00:00+05:30,361.85,368.8,358.05,365.2,22896026
2019-01-07 00:00:00+05:30,367.5,371.0,366.55,367.7,12719847
2019-01-08 00:00:00+05:30,367.8,381.8,366.6,380.15,21501136
2019-01-09 00:00:00+05:30,381.65,383.55,375.6,382.25,21730142
2019-01-10 00:00:00+05:30,380.95,382.15,376.05,379.5,14497154
2019-01-11 00:00:00+05:30,380.6,381.2,375.25,378.55,12537973
2019-01-14 00:00:00+05:30,378.7,378.7,372.7,373.35,14844029
2019-01-15 00:00:00+05:30,373.55,375.4,370.6,372.75,12960779
2019-01-16 00:00:00+05:30,372.05,379.75,372.05,375.3,15106484
2019-01-17 00:00:00+05:30,376.0,377.95,372.8,374.6,13171721
2019-01-18 00:00:00+05:30,374.6,376.4,370.35,372.0,12212121
2019-01-21 00:00:00+05:30,373.0,376.15,370.6,371.7,8908581
2019-01-22 00:00:00+05:30,370.55,372.5,366.1,369.05,14756076
2019-01-23 00:00:00+05:30,368.8,373.7,366.45,367.4,9726450
2019-01-24 00:00:00+05:30,366.6,368.5,361.75,364.8,17521254
2019-01-25 00:00:00+05:30,362.35,364.65,354.55,357.2,22978238
2019-01-28 00:00:00+05:30,353.2,354.9,336.65,343.55,34362360
2019-01-29 00:00:00+05:30,342.95,350.1,341.35,346.85,20738442
2019-01-30 00:00:00+05:30,351.0,368.6,351.0,365.9,39400056
2019-01-31 00:00:00+05:30,372.7,376.65,354.1,364.45,85917249
2019-02-01 00:00:00+05:30,364.5,364.9,348.75,354.65,25605469
2019-02-04 00:00:00+05:30,351.0,356.9,346.0,354.55,17039321
2019-02-05 00:00:00+05:30,354.6,356.1,348.85,352.65,12197271
2019-02-06 00:00:00+05:30,353.6,361.9,353.2,359.3,15396216
2019-02-07 00:00:00+05:30,359.1,361.8,356.5,358.65,10247434
2019-02-08 00:00:00+05:30,356.9,358.4,350.75,355.1,9308651
2019-02-11 00:00:00+05:30,354.6,354.7,349.05,350.05,9419635
2019-02-12 00:00:00+05:30,349.0,352.0,343.25,344.3,14924394
2019-02-13 00:00:00+05:30,345.05,347.75,339.05,339.75,11742509
2019-02-14 00:00:00+05:30,339.85,346.85,336.15,343.95,15172596
2019-02-15 00:00:00+05:30,344.05,347.75,340.6,342.15,20316848
2019-02-18 00:00:00+05:30,342.2,343.0,337.55,338.75,10601490
2019-02-19 00:00:00+05:30,339.1,350.4,339.1,343.25,14384763
2019-02-20 00:00:00+05:30,345.0,347.6,342.35,345.2,9474758
2019-02-21 00:00:00+05:30,346.8,354.95,346.25,351.3,18631331
2019-02-22 00:00:00+05:30,351.4,354.1,351.3,352.05,10997730
2019-02-25 00:00:00+05:30,353.05,357.45,353.05,355.6,10344411
2019-02-26 00:00:00+05:30,350.0,352.7,346.6,348.2,18096382
2019-02-27 00:00:00+05:30,351.0,354.7,343.3,345.55,17325417
2019-02-28 00:00:00+05:30,348.45,351.75,345.0,350.15,18347113
2019-03-01 00:00:00+05:30,352.05,355.0,350.65,354.25,14190221
2019-03-05 00:00:00+05:30,355.0,364.15,352.8,363.25,17638277
2019-03-06 00:00:00+05:30,365.25,372.85,365.25,371.95,31436190
2019-03-07 00:00:00+05:30,371.5,374.0,368.5,370.8,15355303
2019-03-08 00:00:00+05:30,369.8,373.4,367.65,370.6,16143455
2019-03-11 00:00:00+05:30,371.8,378.4,370.0,375.85,11449587
2019-03-12 00:00:00+05:30,378.0,389.0,377.35,388.2,37108265
2019-03-13 00:00:00+05:30,387.9,393.25,384.3,391.9,19574619
2019-03-14 00:00:00+05:30,392.0,393.0,386.8,387.9,13182462
2019-03-15 00:00:00+05:30,388.85,398.25,388.1,395.3,31466545
2019-03-18 00:00:00+05:30,396.25,399.9,393.5,398.05,21220626
2019-03-19 00:00:00+05:30,398.4,400.95,393.9,398.4,11670392
2019-03-20 00:00:00+05:30,397.6,398.15,392.2,392.9,14181408
2019-03-22 00:00:00+05:30,394.45,396.3,390.0,391.8,17409249
2019-03-25 00:00:00+05:30,387.95,387.95,382.5,383.5,12345034
2019-03-26 00:00:00+05:30,384.95,395.5,383.4,394.1,14063632
2019-03-27 00:00:00+05:30,395.4,398.45,390.15,393.2,17950017
2019-03-28 00:00:00+05:30,392.75,401.9,392.75,400.55,23117485
2019-03-29 00:00:00+05:30,402.15,402.4,395.1,400.5,18813782
2019-04-01 00:00:00+05:30,401.45,409.55,395.75,398.25,16106604
2019-04-02 00:00:00+05:30,400.0,400.0,393.45,397.15,13010810
2019-04-03 00:00:00+05:30,399.0,402.8,390.65,392.1,12317200
2019-04-04 00:00:00+05:30,394.4,395.7,387.3,388.75,14521564
2019-04-05 00:00:00+05:30,389.25,392.5,385.6,390.55,10853927
2019-04-08 00:00:00+05:30,391.45,391.45,385.0,387.1,6305407
2019-04-09 00:00:00+05:30,387.4,398.35,387.15,397.15,13206348
2019-04-10 00:00:00+05:30,395.55,398.8,392.7,394.2,14000018
2019-04-11 00:00:00+05:30,394.5,394.5,387.55,390.05,8704774
2019-04-12 00:00:00+05:30,390.6,395.55,388.25,394.6,7035256
2019-04-15 00:00:00+05:30,394.2,396.95,391.8,392.75,9770752
2019-04-16 00:00:00+05:30,397.5,408.4,397.5,407.0,24487788
2019-04-18 00:00:00+05:30,411.0,411.0,402.6,404.4,18660434
2019-04-22 00:00:00+05:30,404.25,404.6,393.7,394.5,10493872
2019-04-23 00:00:00+05:30,396.1,399.95,393.6,396.5,10203957
2019-04-24 00:00:00+05:30,397.1,402.65,393.45,401.1,11397163
2019-04-25 00:00:00+05:30,400.9,402.4,394.3,395.4,16524091
2019-04-26 00:00:00+05:30,400.0,408.0,394.25,407.2,14286163
2019-04-30 00:00:00+05:30,407.75,409.8,403.3,407.5,19375553
2019-05-02 00:00:00+05:30,403.7,405.0,394.4,395.55,16572948
2019-05-03 00:00:00+05:30,397.15,405.2,394.7,401.8,24431248
2019-05-06 00:00:00+05:30,396.5,404.9,394.65,401.3,20751521
2019-05-07 00:00:00+05:30,398.0,407.35,384.3,386.5,41519416
